station_id,date,feature_a,feature_b,feature_c,target
station-1,2024-01-01,0.50,0.877583,0.010,1.1439
station-1,2024-01-02,0.85,0.659983,-0.020,1.9090
station-1,2024-01-03,1.20,0.362358,0.015,2.7686
station-1,2024-01-04,1.55,0.020795,-0.005,3.6198
station-1,2024-01-05,1.90,-0.323290,0.020,4.5456
station-1,2024-01-06,2.25,-0.628174,-0.015,5.3180
station-2,2024-01-01,2.60,-0.856889,0.030,6.1555
station-2,2024-01-02,2.95,-0.981702,-0.025,6.9454
station-2,2024-01-03,3.30,-0.987480,0.018,7.8434
station-2,2024-01-04,3.65,-0.873521,-0.010,8.6068
station-2,2024-01-05,4.00,-0.653644,0.025,9.3304
station-2,2024-01-06,4.35,-0.354509,-0.020,9.9966
