feature_set,method,family,status,n_train,n_valid,rmse,mae,r2,mape,skipped_reason
in_situ_only,ridge,linear,ok,726,354,5.342478819933034,4.5218130058983785,0.6599152511370949,25.02361700486755,
in_situ_only,gradient_boosting,ensemble,ok,726,354,5.642524482660775,4.7228389865029055,0.6206427027660617,28.688437895204927,
in_situ_only,hist_gradient_boosting,ensemble,ok,726,354,5.6586743894234495,4.705564380798644,0.6184680191875176,30.207679993899113,
in_situ_only,random_forest,ensemble,ok,726,354,5.710066201893209,4.671524925170646,0.6115064390041767,30.40407573718733,
in_situ_only,knn,distance,ok,726,354,6.177546349704767,5.074217782778767,0.5452909862785316,28.5916697519139,
in_situ_only,extra_trees,ensemble,ok,726,354,6.229627987054931,5.118612802563259,0.53759154781946,33.360465130641316,
in_situ_only,decision_tree,tree,ok,726,354,7.357380718554409,5.788948088617547,0.3550174011272106,35.512107235610536,
in_situ_only,linear_regression,linear,ok,726,354,8.042161267824104,6.366811511977599,0.22936790295123877,45.32158145383161,
in_situ_only,median,baseline,ok,726,354,9.846938386858989,7.8771661398667066,-0.155324489513317,61.444401506278645,
in_situ_only,mean,baseline,ok,726,354,9.989414958411706,7.993142190473212,-0.18899942946949766,62.70518901742514,
rs_indices_only,ridge,linear,ok,645,309,5.615811002222113,4.289886615909484,0.5967881456509885,25.760855542414234,
rs_indices_only,linear_regression,linear,ok,645,309,5.887712333805746,4.502382432073255,0.5567982254635891,26.718669937521216,
rs_indices_only,gradient_boosting,ensemble,ok,645,309,5.997787053892079,4.543183735381012,0.5400714067964034,27.10260318627597,
rs_indices_only,hist_gradient_boosting,ensemble,ok,645,309,6.033967186168177,4.495894922875959,0.5345058652657437,26.610890604033028,
rs_indices_only,random_forest,ensemble,ok,645,309,6.2384529369956505,4.6850826887416,0.5024208988051575,28.357607803227054,
rs_indices_only,extra_trees,ensemble,ok,645,309,6.3271506976086735,4.7140167889615485,0.48817124423631986,28.75987576074925,
rs_indices_only,knn,distance,ok,645,309,6.489354730313651,4.97804555513437,0.46159218541644564,30.597074232220113,
rs_indices_only,decision_tree,tree,ok,645,309,7.456598108417866,5.658415272674246,0.2891306364408316,32.902181276964306,
rs_indices_only,median,baseline,ok,645,309,9.296627142395904,7.395013332467962,-0.10499204475850843,55.45074570542546,
rs_indices_only,mean,baseline,ok,645,309,9.424468235529757,7.504530584006857,-0.1355912436466742,56.65120014818709,
fused_in_situ_rs,gradient_boosting,ensemble,ok,645,309,4.905912103867662,3.9658360375906407,0.6922855782227614,24.25823618122416,
fused_in_situ_rs,random_forest,ensemble,ok,645,309,5.025007329004187,4.031717429962912,0.6771641736397449,23.773485936474824,
fused_in_situ_rs,hist_gradient_boosting,ensemble,ok,645,309,5.118465535006043,4.134136169111518,0.6650438996673023,25.022513454474005,
fused_in_situ_rs,ridge,linear,ok,645,309,5.447839584780786,4.553896411304074,0.6205479118904081,20.836482815368772,
fused_in_situ_rs,linear_regression,linear,ok,645,309,5.5357004757310015,4.526513753915862,0.6082098692641056,27.16367326810324,
fused_in_situ_rs,extra_trees,ensemble,ok,645,309,5.5543159837896585,4.424153479470244,0.6055704072916986,27.50738946804308,
fused_in_situ_rs,knn,distance,ok,645,309,6.071268634722807,5.010097721658496,0.5287327892398086,27.103501337292474,
fused_in_situ_rs,decision_tree,tree,ok,645,309,8.615759415745705,6.74843617462283,0.05093610550358063,35.51808073000857,
fused_in_situ_rs,median,baseline,ok,645,309,9.296627142395904,7.395013332467962,-0.10499204475850843,55.45074570542546,
fused_in_situ_rs,mean,baseline,ok,645,309,9.424468235529757,7.504530584006857,-0.1355912436466742,56.65120014818709,
